State,City,Tier
Andhra Pradesh,Hyderabad,Tier1
Andhra Pradesh,Vijayawada,Tier2
Andhra Pradesh,Warangal,Tier2
Andhra Pradesh,Vishapatnam,Tier2
Andhra Pradesh,Guntur,Tier2
Assam,Guwahati,Tier2
Bihar,Patna,Tier2
Chandigarh,Chandigarh,Tier2
Chhattisgarh,Durg-Bhilai,Tier2
Chhattisgarh,Raipur,Tier2
Delhi NCR,Delhi NCR,Tier1
Gujarat,Ahmedabad,Tier2
Gujarat,Rajkot,Tier2
Gujarat,Jamnagar,Tier2
Gujarat,Vadodara,Tier2
Gujarat,Surat,Tier2
Haryana,Faridabad,Tier2
Jammu and Kashmir,Srinagar,Tier2
Jammu and Kashmir,Jammu,Tier2
Jharkhand,Jamshedpur,Tier2
Jharkhand,Dhanbad,Tier2
Jharkhand,Ranchi,Tier2
Karnataka,Bengaluru,Tier1
Karnataka,Belgaum,Tier2
Karnataka,Hubli-Dhanbad,Tier2
Karnataka,Mangalore,Tier2
Karnataka,Mysore,Tier2
Kerala,Kozhikode,Tier2
Kerala,Kochi,Tier2
Kerala,Thiruvanathpuram,Tier2
Madhya Pradesh,Gwalior,Tier2
Madhya Pradesh,Indore,Tier2
Madhya Pradesh,Bhopal,Tier2
Madhya Pradesh,Jabalpur,Tier2
Maharashtra,Mumbai MMR,Tier1
Maharashtra,Amravati,Tier2
Maharashtra,Nagpur,Tier2
Maharashtra,Aurangabad,Tier2
Maharashtra,Nashik,Tier2
Maharashtra,Bhiwandi,Tier2
Maharashtra,Pune,Tier2
Maharashtra,Solapur,Tier2
Maharashtra,Kolhapur,Tier2
Orissa,Cuttack,Tier1
Orissa,Bhubaneswar,Tier1
Punjab,Amritsar,Tier2
Punjab,Jalandhar,Tier2
Punjab,Ludhina,Tier2
Pondicherry,Pondicherry,Tier2
Rajasthan,Bikaner,Tier2
Rajasthan,Jaipur,Tier2
Rajasthan,Jodhpur,Tier2
Rajasthan,Kota,Tier2
Tamil Nadu,Chennai,Tier1
Tamil Nadu,Salem,Tier2
Tamil Nadu,Tiruppur,Tier2
Tamil Nadu,Coimbatore,Tier2
Tamil Nadu,Tiruchirappalli,Tier2
Tamil Nadu,Madurai,Tier2
Uttar Pradesh,Moradabad,Tier2
Uttar Pradesh,Meerut,Tier2
Uttar Pradesh,Ghaziabad,Tier2
Uttar Pradesh,Aligarh,Tier2
Uttar Pradesh,Agra,Tier2
Uttar Pradesh,Bareilly,Tier2
Uttar Pradesh,Lucknow,Tier2
Uttar Pradesh,Kanpur,Tier2
Uttar Pradesh,Allahabad,Tier2
Uttar Pradesh,Gorakhpur,Tier2
Uttar Pradesh,Varanasi,Tier2
Uttarakhand,Deharadun,Tier2
West Bengal,Kolkotta,Tier1
West Bengal,Asansol,Tier2
